Genes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Mapk12,6.226536669,6.188264123,5.966146739,6.345636361,6.383506635,6.047372179,6.431331082,5.703782475,6.391917113,5.598421959,6.333279628,0.013571476,3.465735903,3.784189634,1.791759469,3.433987204,3.433987204,2.397895273,2.197224577,2.564949357,3.970291914,4.043051268,0,2.708050201
Gm19585,5.164785974,4.234106505,5.379897354,5.123963979,5.575949103,4.8978398,4.356708827,4.007333185,4.795790546,4.753590191,4.276666119,3.522448051,6.769641977,6.673297968,6.723832441,6.32256524,6.833031733,7.07834158,6.726233402,6.551080335,6.722629795,6.418364936,5.726847748,5.973809612
Cd200r1,0,1.609437912,0,2.197224577,0,1.609437912,0,0,0,0,0,0.178311603,5.375278408,5.541263545,5.081404365,5.541263545,5.129898715,5.416100402,5.036952602,4.753590191,5.420534999,5.525452939,4.59511985,5.308267697
Rai14,0,0,0,0,0,0,0,0,0,0,0.693147181,0,2.833213344,0,0,2.302585093,0,3.891820298,0,4.33073334,2.197224577,3.737669618,0,3.465735903
Gm23954,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945910149,0,0,0,0,0,0,0,0,0,0
Cited4,0,0,0,0,0,1.791759469,0,0,0,0.693147181,0,0.32755434,3.433987204,3.135494216,0,0,1.945910149,0,3.135494216,0,0,2.890371758,1.945910149,4.430816799
Gm32999,0,0,0,0,0,0,0,0,0,0,0,1.371784865,4.317488114,4.934473933,5.141663557,5.613128106,4.941642423,5.141663557,4.736198448,4.510859507,5.278114659,5.552959585,4.8978398,4.8978398
Gm38236,0,0,0,2.944438979,4.158883083,2.708050201,2.197224577,3.044522438,2.833213344,0,0,0.373270732,2.564949357,0,0,2.564949357,0,3.988984047,4.605170186,2.397895273,1.791759469,1.945910149,0,3.433987204
Oas1g,0.693147181,0.693147181,3.091042453,1.945910149,1.098612289,0,0,2.079441542,0.693147181,2.197224577,0,0.247968484,1.791759469,1.609437912,2.197224577,1.386294361,0,1.945910149,2.197224577,2.708050201,2.397895273,2.197224577,2.995732274,3.258096538
Cbr2,0,0,0,0,0.693147181,0,1.945910149,0,0,0,0,0.401617133,0,0,0,0,0,0.693147181,0,0,0,0,0,0
4930439D14Rik,5.204006687,5.117993812,4.17438727,5.446737372,5.187385806,5.398162702,5.855071922,5.123963979,5.676753802,5.293304825,5.303304908,1.11852849,3.135494216,4.543294782,4.406719247,4.060443011,3.931825633,3.496507561,4.248495242,1.945910149,3.36729583,3.218875825,0,3.496507561
Soat2,2.079441542,1.609437912,0,0,0.693147181,0.693147181,0,0.693147181,0,0,0.693147181,0,0,3.610917913,4.262679877,0,3.663561646,5.375278408,2.944438979,4.158883083,4.663439094,5.176149733,2.772588722,4.369447852
Gm13479,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0.693147181,0,0,0,0,0,0,0,0,0
Wfdc21,4.094344562,2.564949357,4.532599493,4.007333185,3.828641396,0.693147181,3.912023005,1.609437912,3.891820298,3.218875825,3.17805383,0.57934698,0,0,0,0,3.17805383,0,1.791759469,0,0,0,0,0
Apoa2,0,0,1.945910149,0,0,0,0,0,3.218875825,0,1.609437912,0,0,0,0,0,0,0,0,1.945910149,0,0,0,0
Gm28809,0,1.609437912,0,3.63758616,0,2.397895273,0,0,2.708050201,2.197224577,0,0,4.844187086,4.820281566,5.342334252,5.505331536,5.262690189,5.393627546,5.187385806,4.955827058,5.323009979,3.871201011,5.424950017,3.526360525
Gm26632,2.833213344,3.663561646,0,2.197224577,0,2.197224577,3.218875825,3.931825633,2.079441542,0,3.663561646,0,0,0,0,0,0,0,0,0,0.693147181,0,3.258096538,0
Ctnnd2,0,2.708050201,0,2.564949357,0,3.63758616,0,2.197224577,2.48490665,0,2.397895273,1.469793643,3.663561646,0,3.258096538,0,0,0,0,3.295836866,3.555348061,3.433987204,2.302585093,0
Card11,9.838308827,9.382443229,9.491299899,10.16300161,10.13471831,9.661097469,9.580799871,9.363490551,9.794230567,9.70643807,9.748177868,5.410243002,9.232590981,9.364348184,9.753826778,9.293485953,9.4045905,9.678717679,9.467769401,9.414912538,9.231024963,9.016634256,8.919319398,8.849944227
Emid1,6.293419279,6.21860012,6.208590026,6.609349243,6.993932975,6.759255271,6.792344427,6.070737728,6.689599269,6.282266747,6.342121419,6.543382285,4.795790546,5.379897354,4.553876892,3.610917913,4.521788577,1.609437912,5.153291594,3.891820298,4.624972813,4.990432587,3.610917913,4.521788577
Znrf3,3.044522438,2.772588722,1.945910149,3.36729583,4.343805422,3.688879454,4.33073334,4.564348191,3.583518938,4.219507705,4.060443011,0.424806736,7.694392803,7.682021511,7.858254182,7.358830898,7.803843304,7.665284718,7.971430998,7.567345676,7.902117546,7.541152455,7.242082359,7.348587531
Pnpla3,2.079441542,0.693147181,0,0,0,1.098612289,2.995732274,0.693147181,0,0,0,0,1.945910149,1.609437912,4.304065093,1.945910149,2.302585093,0,0,0,3.465735903,0,0,3.496507561
Rnf125,2.397895273,0.693147181,3.496507561,2.197224577,3.80666249,2.772588722,4.127134385,3.80666249,1.945910149,0,1.386294361,1.872349643,7.583247524,7.342779189,7.589841512,7.420578905,7.526178913,7.621195163,7.752764809,7.681099002,7.666221926,7.431891917,7.400009517,7.237778192
3110021N24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0,0,0,0,0
Gm24727,0,0,0,0,0.693147181,0,0.693147181,0,0,0,0,0,2.397895273,0,0,0,2.564949357,3.555348061,0,0,2.079441542,0,2.079441542,2.197224577
Mycl,2.995732274,0.693147181,0,0.693147181,2.397895273,0,2.995732274,0,1.945910149,0,4.343805422,2.507183793,2.48490665,0.693147181,1.098612289,0,0,0.693147181,0,0,3.044522438,0,0,0
Gm7480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trbj2-1,0,0,0,0,0,0,0,0,0,0,0,0,5.111987788,5.062595033,6.352629396,5.484796933,5.056245805,4.644390899,5.517452896,5.170483995,4.905274778,4.787491743,3.871201011,4.430816799
