Genes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Trib2,8.170185653,7.854769183,8.041091004,8.670943791,8.418477218,8.079618029,8.108623268,7.821643126,8.081784207,8.029107055,8.074649075,6.07687349,9.202509793,9.207937487,9.414912538,9.165447603,9.174298601,9.480062119,9.180087329,9.101975347,8.986071187,8.940629185,8.631771096,8.543055851
Fam169b,8.289288323,7.75576717,7.263329617,8.365905077,8.394573478,8.070280893,7.820037989,7.659171368,8.10832229,7.982074875,7.834392303,5.255490096,8.644706512,8.668196065,9.084096645,8.750207863,8.852664928,9.157466882,9.014325488,8.709465079,8.804625233,8.72127624,8.355850041,8.368229038
Cd8b1,2.995732274,4.204692619,1.609437912,4.382026635,1.791759469,0.693147181,2.944438979,3.663561646,2.197224577,3.33220451,1.386294361,2.324072067,9.873286044,9.926373656,10.39304868,10.16639013,10.26639305,10.47390197,10.21625241,10.01382068,9.935179999,9.482578803,9.465370112,9.208438565
Cd3e,2.197224577,3.583518938,0.693147181,0,1.609437912,2.708050201,1.945910149,1.609437912,2.890371758,3.044522438,1.098612289,3.629586728,9.536473631,9.671366322,9.932706491,9.763995574,9.968057323,10.28510386,10.01735181,9.682342004,9.747535251,9.530320211,9.414994034,9.354094336
Fcmr,10.68839316,10.25439087,10.21862671,10.54470966,10.8101521,10.3774832,10.26757496,9.970865788,10.48771233,10.42845274,10.45204239,0.577749928,1.791759469,1.791759469,3.63758616,3.610917913,2.63905733,1.609437912,1.791759469,2.708050201,2.48490665,0.693147181,0,3.135494216
Cd3g,2.079441542,3.433987204,0.693147181,1.098612289,3.091042453,1.791759469,3.135494216,2.48490665,1.791759469,2.302585093,2.48490665,1.854474143,9.928667851,9.979846561,10.35577263,10.15665582,10.17488779,10.40289827,10.12647109,9.940349717,9.894900792,9.525078116,9.439227398,9.287764269
Klra2,1.386294361,3.583518938,1.386294361,1.609437912,1.098612289,2.197224577,3.33220451,3.36729583,0,0.693147181,0.693147181,1.622170911,3.663561646,4.406719247,4.317488114,3.610917913,0.693147181,1.098612289,0.693147181,0,0.693147181,0.693147181,0,0
Dtx1,8.133293861,7.956827122,7.701200181,8.585225602,8.539737156,8.221478947,8.120588712,8.199738961,8.349484347,8.417151837,8.289288323,6.469159064,8.984192312,9.093357016,9.095153962,9.297893269,8.907612341,8.996032669,9.132595023,9.14665482,8.657824321,9.010669177,8.582044164,8.477412321
Hpgd,3.583518938,0.693147181,1.609437912,1.609437912,0.693147181,0.693147181,0,0,0.693147181,0.693147181,0,0,4.077537444,3.258096538,4.574710979,1.791759469,4.477336814,1.386294361,0.693147181,1.945910149,3.044522438,0,1.609437912,1.386294361
Tlr13,2.197224577,2.772588722,2.079441542,2.833213344,3.044522438,3.663561646,0,3.970291914,2.772588722,4.158883083,2.079441542,1.210173048,4.882801923,5.236441963,4.852030264,5.068904202,2.48490665,2.772588722,0.693147181,0.693147181,0,1.098612289,0.693147181,1.098612289
Serpinb10,1.945910149,1.609437912,1.791759469,2.197224577,1.791759469,1.098612289,3.17805383,0,0,0,3.433987204,0,3.496507561,3.688879454,4.553876892,3.044522438,2.944438979,0,0,0,0,0,1.791759469,0
Gpr141,0.693147181,1.098612289,4.890349128,0,0,2.63905733,2.708050201,0.693147181,0.693147181,1.098612289,0,0.516025021,4.33073334,3.63758616,5.393627546,4.007333185,3.465735903,1.098612289,0.693147181,0,0.693147181,0.693147181,0,0
Ccr7,9.181014543,8.730528802,8.808817483,9.199481629,9.366916679,8.986946789,9.101306451,8.791941988,8.857088135,8.937612591,9.009691898,5.224971766,9.442245429,9.674765973,9.853824508,9.505618521,9.731512288,10.05625156,9.793616881,9.453051229,9.457981395,9.141526056,9.015055149,8.892886141
Arhgef37,2.833213344,0.693147181,1.098612289,3.63758616,1.791759469,0.693147181,0.693147181,2.302585093,1.098612289,1.945910149,0.693147181,0.037052611,4.343805422,5.493061443,4.007333185,4.007333185,2.197224577,0.693147181,0.693147181,0,0,0.693147181,0,0.693147181
Ptpro,0,3.583518938,0,0,0.693147181,3.496507561,1.098612289,0.693147181,3.044522438,1.791759469,0.693147181,2.6458878,4.204692619,5.891644212,5.043425117,5.252273428,3.970291914,2.079441542,0,1.386294361,1.386294361,2.708050201,1.386294361,0.693147181
Tlr8,0,2.564949357,0,0.693147181,0.693147181,0.693147181,4.110873864,3.555348061,3.663561646,1.791759469,0.693147181,0,2.079441542,3.828641396,4.644390899,0,2.995732274,0,0,0,0,0,0,0.693147181
Rit1,0,3.63758616,0,3.044522438,1.791759469,2.079441542,0.693147181,1.098612289,0,1.609437912,1.386294361,2.591063958,9.836278803,9.780245896,9.925346887,9.59280976,9.85266783,9.66884059,10.05328592,9.767896898,9.854297308,9.658481754,9.297984882,9.508591396
Trac,0,3.044522438,0,3.295836866,2.302585093,0,3.713572067,1.609437912,0,0,1.791759469,0.06325473,9.351579484,9.436200231,9.58204185,9.558035114,9.651172624,9.89887694,9.580661778,9.367429587,9.489486113,9.30692247,9.021598247,8.872907674
Pla2g7,1.386294361,3.663561646,3.970291914,3.433987204,0,2.944438979,0.693147181,2.079441542,2.197224577,2.890371758,0,1.758772005,4.060443011,6.144185634,5.347107531,4.836281907,3.33220451,0,0,1.098612289,0,0,0,0
Gm36161,1.386294361,1.791759469,0.693147181,0.693147181,1.386294361,2.302585093,1.791759469,0,0,0.693147181,0,0.459368032,3.36729583,4.304065093,3.135494216,4.442651256,2.197224577,0,0,1.609437912,0.693147181,0.693147181,0.693147181,0
Pilra,2.708050201,3.663561646,0.693147181,2.197224577,0,0,0.693147181,3.663561646,2.079441542,3.970291914,0.693147181,0,3.044522438,4.007333185,4.262679877,4.564348191,4.727387819,0.693147181,0,0,0,0,1.386294361,0.693147181
Cd6,3.044522438,0.693147181,0,0,3.044522438,0,4.143134726,1.098612289,0.693147181,0.693147181,1.098612289,0.581404043,8.832295859,9.051461867,9.292104674,9.083869708,9.318925682,9.471704136,9.41751713,9.257605564,9.086702732,8.962904128,8.76029622,8.744169389
Cd300lb,1.791759469,3.80666249,1.098612289,0,1.945910149,2.302585093,0.693147181,0.693147181,0,3.970291914,0,0.267208149,4.127134385,4.770684624,4.624972813,4.454347296,4.077537444,1.386294361,0,0.693147181,0,0,0,0
Cd300ld,1.791759469,3.80666249,1.386294361,1.098612289,1.098612289,2.708050201,1.386294361,0,1.386294361,0,0.693147181,0.008972781,4.718498871,4.8978398,4.919980926,4.574710979,4.997212274,1.098612289,1.098612289,1.098612289,0,1.098612289,0.693147181,0
Cd8a,0,3.555348061,1.098612289,3.970291914,3.17805383,3.663561646,3.688879454,3.583518938,2.890371758,3.828641396,2.890371758,2.671274937,9.588845299,9.761347785,10.20229501,9.858019364,9.980263391,10.24202908,9.983176351,9.816130661,9.860893155,9.388151773,9.29293367,9.15440474
Themis,0,0.693147181,0,0.693147181,0,0.693147181,0.693147181,0,1.609437912,0.693147181,1.098612289,0.214468632,8.742733867,8.710454688,8.972717499,8.595449689,8.757626411,8.864746661,9.055789612,8.373784608,8.774467601,8.472823244,8.167919363,8.201385955
Clec4a3,1.609437912,0.693147181,0.693147181,1.386294361,2.708050201,2.079441542,4.007333185,0,1.098612289,0,3.555348061,2.306554891,3.610917913,4.812184355,4.718498871,3.828641396,2.708050201,0.693147181,1.098612289,0,0.693147181,0,0,1.098612289
Chst3,9.964911855,9.485393028,9.475546748,10.21928321,10.31466962,9.854454859,9.738318055,9.52434787,10.01216257,9.945061264,10.02011436,9.006133223,1.098612289,1.098612289,2.197224577,3.970291914,2.079441542,0,1.098612289,2.302585093,2.397895273,2.890371758,0,2.48490665
Nsg2,3.135494216,3.258096538,2.564949357,2.890371758,1.098612289,0,1.098612289,2.564949357,0.693147181,2.833213344,1.386294361,0.241380683,8.907206195,9.181735115,9.423675982,9.238539026,9.173883835,9.512147218,9.16680637,9.106534203,9.005773206,8.631057448,8.411832676,8.495152061
Cd19,10.14737446,9.777187096,9.660205067,10.22857379,10.36910658,10.0448569,10.02091497,9.696709355,10.13380531,10.17492591,10.0635635,7.478763598,3.555348061,3.218875825,3.526360525,1.386294361,2.302585093,4.762173935,2.397895273,3.33220451,2.197224577,2.833213344,1.945910149,1.098612289
Krt80,3.33220451,3.044522438,1.098612289,2.48490665,0.693147181,1.791759469,1.098612289,2.772588722,1.386294361,0,1.098612289,2.613497861,4.795790546,4.158883083,5.497168225,4.753590191,4.290459441,1.609437912,0.693147181,0.693147181,2.302585093,0.693147181,1.386294361,0.693147181
Adgre4,2.63905733,1.609437912,3.17805383,1.791759469,1.098612289,3.36729583,3.713572067,1.791759469,1.609437912,0.693147181,1.609437912,0.872631362,4.48863637,4.317488114,6.02827852,4.912654886,5.141663557,2.079441542,1.386294361,1.386294361,1.098612289,0,0.693147181,1.098612289
Clec7a,2.397895273,3.33220451,2.302585093,3.828641396,0.693147181,3.526360525,0.693147181,1.098612289,0,1.386294361,1.098612289,0,4.770684624,5.860786223,4.584967479,4.804021045,3.850147602,1.098612289,0.693147181,0,1.791759469,2.944438979,0,1.386294361
Ly6d,9.55796448,8.991064332,9.28191657,9.569202921,9.661607056,9.200794959,9.010180657,8.776012719,9.219201,9.39798109,9.326700173,5.87505838,3.17805383,0.693147181,2.197224577,1.609437912,0,0,1.791759469,1.386294361,1.098612289,0.693147181,0.693147181,2.564949357
Gpr35,1.098612289,1.945910149,0.693147181,2.772588722,1.791759469,2.48490665,1.791759469,0,1.945910149,3.526360525,1.098612289,0.732584546,4.343805422,4.727387819,5.416100402,2.564949357,3.970291914,1.098612289,0.693147181,1.609437912,1.098612289,0,3.433987204,1.098612289
Pax5,10.13368616,9.613068404,9.495444123,10.42590572,10.60834095,10.3570124,10.33494524,9.921180112,10.31778025,10.10704045,10.19241884,8.320210688,1.791759469,4.317488114,3.663561646,2.197224577,2.890371758,0.693147181,3.610917913,0.693147181,3.044522438,3.688879454,3.63758616,1.098612289
Cd300a,3.33220451,3.663561646,3.761200116,3.496507561,4.234106505,2.708050201,2.708050201,2.302585093,3.33220451,3.135494216,2.564949357,0.013032032,5.003946306,4.9698133,5.476463552,5.720311777,4.510859507,0,1.386294361,1.098612289,0,2.772588722,0.693147181,0.693147181
Ms4a1,10.48220544,9.917094556,10.38563589,10.35621785,10.32839575,9.944389544,9.839855287,9.425532394,9.737728084,9.910909938,9.889135046,3.609714537,3.36729583,1.791759469,2.197224577,1.386294361,0,0.693147181,4.077537444,0.693147181,0,2.564949357,0.693147181,1.098612289
Gm21188,1.791759469,2.48490665,0,0,2.708050201,1.791759469,0.693147181,0,0.693147181,3.688879454,0.693147181,0.055799473,4.49980967,5.099866428,3.433987204,4.430816799,3.988984047,0.693147181,0,0,0,0.693147181,0.693147181,0.693147181
Il7r,2.63905733,2.833213344,2.302585093,3.295836866,0,2.944438979,3.610917913,1.386294361,1.386294361,0.693147181,1.945910149,3.071376055,9.645817254,9.661861752,10.00681099,9.597980895,9.945492847,10.27959251,10.07521149,9.616471925,9.953229644,9.622979684,9.179468708,9.506139413
Nlrp3,0,2.302585093,0,3.737669618,0,0,0,1.945910149,0.693147181,4.672828834,0,0.263196806,2.48490665,2.772588722,0,5.159055299,2.397895273,0,0.693147181,0,0.693147181,1.609437912,0,0
F10,0,3.610917913,0.693147181,1.098612289,0.693147181,4.727387819,2.48490665,3.850147602,2.944438979,4.430816799,0,0.782739808,3.091042453,5.743003188,5.087596335,3.091042453,1.098612289,0,2.995732274,0,0.693147181,0.693147181,0.693147181,0.693147181
Skint3,0.693147181,0.693147181,1.098612289,0,0,0,0,0,1.386294361,0,0,0.595768428,1.945910149,1.791759469,0,2.772588722,2.833213344,0.693147181,0.693147181,0,0,0,0,0.693147181
Ebf1,9.44533344,9.117566972,8.722417141,9.6162054,9.550946908,9.225327502,9.025214888,8.89123643,9.121509158,8.932872622,9.148677712,3.615715485,2.708050201,2.944438979,1.386294361,1.098612289,0,0.693147181,0,1.098612289,1.098612289,2.302585093,1.386294361,0.693147181
Tdrp,2.197224577,0,0,0,0.693147181,0,0,0,0,1.791759469,1.945910149,0.342015256,8.759511722,8.227909838,9.145695178,8.270269111,8.768418727,8.756210092,9.010302809,8.505929999,8.515792211,7.991592282,8.156797047,7.933438388
Fgd4,1.098612289,3.091042453,1.791759469,2.833213344,3.988984047,3.044522438,3.583518938,0,1.945910149,0.693147181,1.609437912,0.386925418,3.828641396,4.624972813,4.96284463,4.143134726,2.63905733,3.044522438,0.693147181,1.098612289,0,1.609437912,2.63905733,0
Iglc2,9.472242991,9.04629086,9.573732704,9.529884418,9.519074291,9.078065333,9.064620718,8.788593431,9.119868469,8.941414628,9.18584274,1.882663618,2.197224577,1.386294361,1.791759469,0,2.995732274,0,1.609437912,1.098612289,1.791759469,3.401197382,0.693147181,0.693147181
Cd300c2,1.386294361,0.693147181,1.098612289,0,0.693147181,0,0,0.693147181,2.397895273,0.693147181,1.098612289,0,2.48490665,3.583518938,4.736198448,3.496507561,2.890371758,0.693147181,0,0,0,1.609437912,0,0
Abca9,0.693147181,1.098612289,1.098612289,0,1.098612289,2.890371758,4.077537444,0.693147181,1.945910149,1.791759469,2.995732274,0,4.418840608,5.030437921,5.220355825,4.787491743,0,1.098612289,1.098612289,0,0.693147181,0,1.098612289,0.693147181
Fcrla,9.322865163,8.951310542,8.829665433,9.419141562,9.43771496,8.980298079,8.990939807,8.665095821,9.079206104,9.209439967,9.088059737,0.481705649,0.693147181,3.988984047,3.970291914,0,0.693147181,1.098612289,0,0.693147181,1.386294361,0,0,0.693147181
Sirpb1a,0.693147181,1.945910149,1.386294361,0,0.693147181,2.302585093,0,0,0,1.098612289,2.079441542,0,2.197224577,4.672828834,4.219507705,2.708050201,0.693147181,0.693147181,0.693147181,0,0,0.693147181,0,0
Msr1,0,0,0,0,0,1.791759469,1.098612289,1.609437912,0.693147181,0,0.693147181,2.932708591,2.48490665,5.209486153,4.844187086,2.564949357,3.401197382,0,0,0.693147181,0.693147181,0,0,0
Cd4,0.693147181,0.693147181,2.708050201,3.465735903,2.397895273,2.564949357,1.098612289,1.386294361,2.397895273,3.044522438,3.784189634,2.994997786,9.336796796,9.445570584,9.540003767,9.536329279,9.689365683,9.769670405,9.558600006,9.381516718,9.375006994,9.245514447,9.058121159,9.094480486
Ifitm6,0.693147181,1.609437912,0,0,0,3.17805383,0,3.295836866,0,3.465735903,3.555348061,0,3.610917913,4.418840608,1.386294361,4.262679877,3.496507561,1.098612289,0,0,1.098612289,0.693147181,0.693147181,0.693147181
Clec4a1,1.791759469,3.465735903,2.995732274,1.386294361,0.693147181,2.564949357,3.784189634,2.833213344,1.609437912,3.951243719,0.693147181,1.900145789,3.401197382,4.543294782,5.247024072,4.770684624,4.382026635,1.609437912,0.693147181,1.098612289,0,3.17805383,1.386294361,0
Mafb,0.693147181,1.386294361,0.693147181,0,2.833213344,2.564949357,0.693147181,0.693147181,0.693147181,0.693147181,0,0.407775766,3.610917913,3.871201011,4.709530201,5.298317367,2.772588722,0.693147181,0.693147181,0.693147181,0,0,0,1.945910149
Ear2,1.609437912,1.609437912,0.693147181,2.944438979,1.098612289,0,1.945910149,1.098612289,0,0,1.609437912,0,3.091042453,3.663561646,4.343805422,3.496507561,3.295836866,1.098612289,1.098612289,1.098612289,0.693147181,0.693147181,0,1.098612289
Lrp1,3.80666249,5.262690189,2.833213344,4.343805422,4.510859507,5.379897354,3.36729583,5.117993812,5.375278408,5.488937726,4.406719247,4.54965376,5.948034989,7.741533589,7.193685818,6.799055862,6.704414355,2.890371758,3.80666249,3.496507561,3.713572067,3.688879454,3.496507561,2.708050201
Clec4e,3.135494216,2.48490665,1.386294361,0,0,3.091042453,0,0.693147181,0,3.713572067,0,0,0,5.153291594,0.693147181,0.693147181,0,0,0,0,0,0,0,0
Ace,4.110873864,3.713572067,3.218875825,2.833213344,2.302585093,4.394449155,4.59511985,4.110873864,4.454347296,3.258096538,3.295836866,1.257493362,6.363028104,6.118097198,6.941190055,6.167516491,6.647688374,2.708050201,2.772588722,1.791759469,2.48490665,2.197224577,2.397895273,1.386294361
Cfh,1.098612289,3.761200116,0.693147181,1.098612289,0.693147181,0.693147181,4.248495242,3.526360525,2.397895273,3.663561646,1.386294361,1.219852899,3.784189634,4.663439094,0.693147181,4.59511985,3.135494216,0,0.693147181,0.693147181,0,0.693147181,0,0
Ugt1a7c,2.833213344,2.833213344,1.098612289,2.944438979,0,2.772588722,0,1.098612289,1.945910149,2.079441542,1.945910149,0.319127931,2.197224577,4.189654742,2.302585093,0,0,0,0,0.693147181,0,0.693147181,3.931825633,2.995732274
Mmp8,1.609437912,4.574710979,0,3.33220451,0,1.098612289,0,0,1.098612289,0.693147181,0.693147181,0.483791225,3.091042453,4.828313737,0,3.912023005,0,0,0,0,0,0.693147181,0,0
Ifi207,3.36729583,2.708050201,2.63905733,2.564949357,1.609437912,1.791759469,1.098612289,3.091042453,0.693147181,1.098612289,2.079441542,1.461230867,4.442651256,5.361292166,3.401197382,5.472270674,3.526360525,1.098612289,0,2.833213344,2.63905733,3.850147602,0,1.791759469
Nat8l,2.564949357,0,1.098612289,2.079441542,0,0.693147181,0,0,4.17438727,0,0,0.131320572,2.833213344,3.401197382,4.634728988,0,0.693147181,0,3.135494216,0,0,2.197224577,0,0
Pilrb2,0,0.693147181,0,0,0,0,0,0,0,0,0.693147181,0,0,2.48490665,4.17438727,2.302585093,2.197224577,2.708050201,0.693147181,0,0,2.833213344,0,0
Cd300e,1.609437912,3.258096538,2.302585093,0.693147181,0,0.693147181,0.693147181,1.098612289,0,0.693147181,1.791759469,0,4.290459441,3.401197382,5.529429088,3.17805383,4.718498871,0.693147181,0.693147181,1.609437912,0,0,0.693147181,0.693147181
Cyp2ab1,2.564949357,0,1.609437912,0.693147181,0.693147181,1.098612289,0,1.609437912,0,1.098612289,0,0,1.609437912,1.386294361,3.091042453,4.700480366,2.079441542,0,0,0,0,0,0,0
S1pr1,9.584177205,9.011279491,8.952993499,9.927594628,9.60487934,9.068776808,9.12608882,8.89068592,9.289336378,9.396736948,9.213933907,0.255668095,9.888729182,10.14254382,10.31115024,10.09584195,10.09575944,10.29816131,10.15069913,9.837027186,9.997205556,9.800900964,9.579625473,9.47937465
Slc8a1,1.386294361,1.098612289,3.931825633,4.060443011,0.693147181,3.433987204,0,0,0,3.465735903,0,0,3.135494216,4.844187086,3.33220451,4.189654742,4.787491743,0.693147181,0,0,0.693147181,0.693147181,0,0
Wdfy3,3.091042453,2.302585093,2.197224577,1.098612289,2.833213344,0,3.526360525,0,2.079441542,5.361292166,3.218875825,2.240681266,3.951243719,5.624017506,0,4.418840608,3.583518938,0,0.693147181,1.386294361,1.386294361,3.17805383,1.386294361,0
P2ry6,0.693147181,0.693147181,0,0.693147181,0,0.693147181,0,0,0,0,0.693147181,0,2.079441542,3.33220451,0,3.610917913,3.970291914,0,0.693147181,0,0,0,0,0
Trbc1,3.850147602,2.48490665,2.079441542,0,1.098612289,3.258096538,4.094344562,1.791759469,1.098612289,0,2.197224577,1.189315038,8.895629627,9.180087329,9.390659926,9.127284797,9.166701915,9.46389673,9.25033002,8.979668554,8.968650903,8.594709634,8.617762246,8.457018468
Cacna1i,9.430359046,8.933927892,9.191565217,9.778547718,9.853141178,9.446202696,9.395158809,9.220587688,9.551657994,9.38538552,9.572828387,1.434993005,4.356708827,4.727387819,3.761200116,4.709530201,0.693147181,3.931825633,4.060443011,5.786897381,4.382026635,5.602118821,2.397895273,3.951243719
Arhgef10l,3.688879454,2.564949357,1.386294361,2.302585093,2.995732274,2.197224577,2.302585093,3.36729583,2.079441542,2.564949357,1.386294361,1.068250175,2.302585093,5.575949103,5.123963979,5.379897354,4.025351691,1.098612289,2.48490665,1.098612289,0,2.302585093,0.693147181,0
Mefv,3.36729583,2.995732274,0.693147181,0,3.044522438,0.693147181,0.693147181,3.688879454,0,1.609437912,3.36729583,0,2.833213344,4.158883083,4.007333185,3.850147602,3.36729583,0,0.693147181,0.693147181,0,0.693147181,0,0
Iglc1,8.864746661,8.340217321,8.570923514,8.804175019,8.95493186,8.379539026,8.33014046,7.972466016,8.360539381,8.389587067,8.566935283,6.426188361,1.609437912,0,2.564949357,2.197224577,0.693147181,0,0,0,0.693147181,0,0,0
Nupr1,1.609437912,2.890371758,1.609437912,0,0.693147181,0,0.693147181,3.17805383,2.197224577,0,0,0.729860628,2.890371758,1.791759469,3.850147602,2.833213344,3.465735903,0,0.693147181,0.693147181,3.218875825,1.609437912,2.197224577,1.945910149
Dpep2,1.945910149,2.197224577,0.693147181,0.693147181,0.693147181,0.693147181,0,0,0,2.397895273,0,1.242035123,0,1.791759469,0,3.555348061,0,0,1.098612289,2.564949357,0.693147181,0,0,0
Dock1,1.945910149,0.693147181,0,1.098612289,0,1.098612289,0,3.258096538,1.098612289,1.098612289,0.693147181,1.498256322,3.555348061,3.713572067,0,1.098612289,2.079441542,1.609437912,0,0,0.693147181,3.33220451,0.693147181,2.890371758
Fcgr1,0.693147181,2.833213344,0,0.693147181,1.098612289,0.693147181,0,0.693147181,0,2.197224577,0,0.052689738,1.791759469,4.990432587,3.091042453,3.258096538,3.63758616,0.693147181,0,0,1.098612289,0.693147181,0,0.693147181
Gm9733,0,0.693147181,0,0,0,3.135494216,0,0,0,0.693147181,1.386294361,0,2.197224577,5.272999559,4.477336814,4.094344562,3.135494216,0,0,0.693147181,0,0,0,0.693147181
Csf3r,2.833213344,3.912023005,0.693147181,3.555348061,4.691347882,3.465735903,3.091042453,4.48863637,2.890371758,4.110873864,1.609437912,1.328938101,4.672828834,6.238324625,6.182084907,4.762173935,3.36729583,3.044522438,1.098612289,0,2.564949357,3.135494216,0,3.33220451
Hfe,3.433987204,2.63905733,0,0.693147181,1.386294361,0,3.218875825,0,0.693147181,0,1.386294361,0.727860305,4.59511985,3.555348061,3.663561646,4.927253685,3.496507561,0.693147181,2.833213344,0,2.397895273,1.098612289,0.693147181,0
Fcgr4,1.945910149,2.302585093,1.609437912,0.693147181,0,1.945910149,3.091042453,0,1.098612289,2.944438979,1.609437912,1.979497423,2.944438979,3.258096538,4.127134385,3.496507561,2.48490665,0,0,0.693147181,0,0.693147181,0.693147181,0
Iglc3,8.644354337,7.905441649,8.163656176,8.327726166,8.48115142,8.182279739,7.831617276,7.489970899,8.08671792,8.06652149,7.920446505,0.635675159,0,0.693147181,3.737669618,0,0,0,1.098612289,0,0,0,0,1.098612289
Blk,9.425290448,9.02665789,9.036819971,9.766521697,9.682529112,9.239122173,9.152181458,8.909505513,9.320897363,9.414423421,9.289151552,0.130922168,4.48863637,4.369447852,5.187385806,3.828641396,3.433987204,4.356708827,4.477336814,5.283203729,4.043051268,5.598421959,5.036952602,6.369900983
Mtus1,0.693147181,2.197224577,3.784189634,2.772588722,2.708050201,2.079441542,2.944438979,1.386294361,3.044522438,1.386294361,0.693147181,0.636786005,2.772588722,5.774551546,4.158883083,3.610917913,3.63758616,0,0.693147181,0.693147181,0,2.079441542,1.609437912,3.555348061
Il13ra1,2.63905733,1.386294361,1.098612289,3.258096538,0.693147181,2.397895273,3.688879454,0,2.564949357,0,1.945910149,0.016043365,3.688879454,4.990432587,3.761200116,3.218875825,4.094344562,3.784189634,0.693147181,0.693147181,0.693147181,1.609437912,0.693147181,0.693147181
Pik3r6,0.693147181,2.397895273,0,2.995732274,2.197224577,3.36729583,0.693147181,0.693147181,0,0,0.693147181,1.627830248,1.098612289,3.970291914,4.682131227,2.833213344,0.693147181,1.098612289,0,0,0.693147181,2.197224577,1.609437912,1.098612289
Il1b,1.098612289,1.098612289,0,1.098612289,0,1.386294361,0,0,1.609437912,0.693147181,0,1.350792755,3.828641396,3.891820298,3.891820298,0,0.693147181,0,0,0.693147181,1.098612289,0,0,2.079441542
Ltbr,0.693147181,0,0.693147181,0,0,0,0,3.17805383,1.386294361,2.197224577,1.098612289,0,4.234106505,4.477336814,2.079441542,3.433987204,0,0,0.693147181,2.708050201,2.564949357,0.693147181,1.791759469,3.17805383
Sirpb1b,0,3.496507561,0,0.693147181,0,0,0,0,0,0.693147181,0,0.217030797,2.890371758,1.945910149,0,3.850147602,3.36729583,0,0,0,0,0,0,0
Vcan,2.302585093,4.574710979,2.708050201,1.386294361,3.17805383,4.564348191,1.609437912,3.33220451,1.609437912,1.098612289,1.791759469,1.249420847,4.025351691,6.897704943,3.663561646,3.912023005,2.833213344,0,0.693147181,2.708050201,2.197224577,0.693147181,0.693147181,2.995732274
Pilrb1,1.609437912,0.693147181,0.693147181,1.098612289,0,0,0,0,0,0.693147181,0.693147181,0.284883375,3.218875825,0.693147181,3.044522438,4.060443011,2.772588722,2.197224577,0.693147181,3.258096538,0,0,0.693147181,2.079441542
Igkc,11.55061616,11.01725114,11.23775151,11.43942961,11.60729884,11.22400262,11.06192414,10.62349572,11.14944168,11.30124101,11.15186951,7.738092201,4.158883083,4.262679877,5.332718793,4.094344562,3.36729583,2.708050201,3.713572067,2.708050201,2.708050201,4.248495242,2.833213344,3.135494216
Ighd,10.95947066,10.78245018,10.6574711,11.20002131,11.11222399,10.92532678,10.78446194,10.45943949,10.89901451,10.83856078,10.70989645,9.095144953,5.129898715,5.438079309,4.762173935,4.882801923,4.919980926,5.313205979,5.834810737,5.669880923,5.786897381,5.231108617,4.795790546,5.451038454
C3,2.833213344,5.117993812,2.48490665,3.401197382,3.688879454,4.59511985,4.770684624,4.795790546,4.59511985,5.513428746,2.944438979,0.604482103,5.564520407,6.874198495,5.934894196,6.568077911,4.110873864,1.945910149,2.397895273,2.197224577,2.48490665,1.609437912,3.526360525,2.397895273
Rin2,0.693147181,1.098612289,1.386294361,0,4.317488114,0,0.693147181,2.397895273,0,3.912023005,0,1.762987196,3.044522438,4.406719247,4.382026635,2.397895273,4.532599493,0,0,3.555348061,3.258096538,3.135494216,2.63905733,3.912023005
Fpr2,1.791759469,0.693147181,0,0.693147181,0.693147181,0,0,0,0,2.397895273,0,0,0,4.007333185,0.693147181,3.044522438,0,0,0,0.693147181,0,0,0,0.693147181
Tifab,3.761200116,3.496507561,3.663561646,4.465908119,3.912023005,4.442651256,4.158883083,3.36729583,3.433987204,3.17805383,2.302585093,1.736133831,5.043425117,5.342334252,5.739792912,5.257495372,5.081404365,1.791759469,1.098612289,0.693147181,1.098612289,1.945910149,1.098612289,1.791759469
Trbc2,0.693147181,2.302585093,2.564949357,2.079441542,0.693147181,1.386294361,1.386294361,1.945910149,1.098612289,2.944438979,1.386294361,0.791990764,9.243388226,9.189116736,9.592468615,9.393328373,9.412382853,9.659056522,9.336796796,9.1787465,9.15377002,8.79769958,8.764365721,8.363109176
Treml4,2.397895273,3.496507561,2.397895273,1.098612289,0.693147181,3.258096538,3.044522438,1.386294361,3.610917913,2.197224577,1.098612289,0.163119404,4.343805422,5.332718793,4.343805422,5.262690189,4.060443011,1.609437912,1.098612289,1.386294361,0.693147181,2.397895273,0,1.098612289
Cd96,0,1.386294361,0,0,0,1.791759469,1.945910149,3.891820298,0,3.135494216,1.098612289,0.059377854,8.247743887,8.402231173,8.883501584,8.288031568,8.611593867,8.626764828,8.68270763,8.384118837,8.473868067,7.862497197,7.875499292,7.855544678
Pacsin1,6.442540166,6.621405652,6.499787041,7.396335294,7.028201432,6.65929392,7.046647278,7.043159916,7.268223021,6.656726524,6.070737728,3.964676673,7.701652363,8.010027528,7.748028524,7.939871576,7.878155337,8.069342367,8.111027838,7.96797318,7.934513464,7.400620577,6.961296046,7.263329617
Nlrp1a,0,2.079441542,0.693147181,0,0,0,0,0,1.945910149,2.197224577,0,0,3.044522438,1.609437912,4.663439094,0,0.693147181,0,0,3.295836866,0.693147181,1.609437912,0,0.693147181
